"filename", "language", "TypeScript React", "CSS", "TypeScript", "XML", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\viewport.spec.js", "JavaScript", 0, 0, 0, 0, 0, -37, -12, -11, -60
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\waiting.spec.js", "JavaScript", 0, 0, 0, 0, 0, -14, -15, -3, -32
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\window.spec.js", "JavaScript", 0, 0, 0, 0, 0, -14, -4, -5, -23
"c:\Users\K\Desktop\gym-app\front\src\.prettierrc", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\K\Desktop\gym-app\front\src\App.css", "CSS", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\K\Desktop\gym-app\front\src\App.test.tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\K\Desktop\gym-app\front\src\App.tsx", "TypeScript React", 100, 0, 0, 0, 0, 0, 0, 7, 107
"c:\Users\K\Desktop\gym-app\front\src\components\auth\AuthProvider.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 9, 37
"c:\Users\K\Desktop\gym-app\front\src\components\buttons\NavbarSignUpButton.css", "CSS", 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\K\Desktop\gym-app\front\src\components\buttons\NavbarSignUpButton.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\K\Desktop\gym-app\front\src\components\errorLabel\ErrorLabel.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K\Desktop\gym-app\front\src\components\errorLabel\ErrorLabel.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\K\Desktop\gym-app\front\src\components\footer\Footer.css", "CSS", 0, 136, 0, 0, 0, 0, 1, 28, 165
"c:\Users\K\Desktop\gym-app\front\src\components\footer\Footer.tsx", "TypeScript React", 65, 0, 0, 0, 0, 0, 0, 2, 67
"c:\Users\K\Desktop\gym-app\front\src\components\frontdoorvideo\FrontDoorVideo.css", "CSS", 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\K\Desktop\gym-app\front\src\components\frontdoorvideo\FrontDoorVideo.tsx", "TypeScript React", 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\K\Desktop\gym-app\front\src\components\loading\Loading.css", "CSS", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\K\Desktop\gym-app\front\src\components\loading\Loading.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\K\Desktop\gym-app\front\src\components\logo\LogoLink.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\K\Desktop\gym-app\front\src\components\modals\BaseModal.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\K\Desktop\gym-app\front\src\components\modals\BaseModal.tsx", "TypeScript React", 59, 0, 0, 0, 0, 0, 0, 3, 62
"c:\Users\K\Desktop\gym-app\front\src\components\modals\BookSlotModal.tsx", "TypeScript React", 65, 0, 0, 0, 0, 0, 0, 5, 70
"c:\Users\K\Desktop\gym-app\front\src\components\modals\CancelSlotModal.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\K\Desktop\gym-app\front\src\components\modals\CancelSubscriptionModal.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\K\Desktop\gym-app\front\src\components\modals\ChangePasswordModal.tsx", "TypeScript React", 93, 0, 0, 0, 0, 0, 0, 10, 103
